ID;URL;Name;NameWithOwner;Stargazers;PullRequests;AcceptedPullRequests;Releases;PrimaryLanguage;createdAt;updatedAt;closedIssues;totalIssues
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==;https://github.com/freeCodeCamp/freeCodeCamp;freeCodeCamp;freeCodeCamp/freeCodeCamp;362465;32266;19292;0;TypeScript;2014-12-24T17:49:19Z;2023-03-05T00:13:08Z;16559;16714
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==;https://github.com/EbookFoundation/free-programming-books;free-programming-books;EbookFoundation/free-programming-books;269531;8246;5592;0;;2013-10-11T06:50:37Z;2023-03-04T18:21:53Z;886;911
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=;https://github.com/996icu/996.ICU;996.ICU;996icu/996.ICU;265217;1949;1063;0;;2019-03-26T07:31:14Z;2022-01-25T17:24:10Z;0;0
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==;https://github.com/jwasham/coding-interview-university;coding-interview-university;jwasham/coding-interview-university;250356;875;359;0;;2016-06-06T02:34:12Z;2023-03-01T16:30:59Z;339;383
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==;https://github.com/sindresorhus/awesome;awesome;sindresorhus/awesome;241433;1878;607;0;;2014-07-11T13:42:37Z;2023-02-18T09:59:12Z;297;321
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==;https://github.com/kamranahmedse/developer-roadmap;developer-roadmap;kamranahmedse/developer-roadmap;231806;2174;1455;1;Astro;2017-03-15T13:45:52Z;2023-03-04T23:58:23Z;758;910
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==;https://github.com/public-apis/public-apis;public-apis;public-apis/public-apis;229900;2924;1871;0;Python;2016-03-20T23:49:42Z;2022-07-19T13:39:16Z;416;444
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==;https://github.com/donnemartin/system-design-primer;system-design-primer;donnemartin/system-design-primer;213089;464;195;0;Python;2017-02-26T16:15:28Z;2022-12-11T20:06:51Z;71;244
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==;https://github.com/facebook/react;react;facebook/react;203248;13231;8840;99;JavaScript;2013-05-24T16:15:54Z;2023-03-05T00:51:34Z;11146;12078
MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==;https://github.com/vuejs/vue;vue;vuejs/vue;202598;2386;1118;245;TypeScript;2013-07-29T03:24:51Z;2023-02-04T18:16:38Z;9584;9947
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=;https://github.com/codecrafters-io/build-your-own-x;build-your-own-x;codecrafters-io/build-your-own-x;191977;288;112;0;;2018-05-09T12:03:18Z;2023-02-27T19:27:50Z;377;541
MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==;https://github.com/tensorflow/tensorflow;tensorflow;tensorflow/tensorflow;171786;22697;15771;185;C++;2015-11-07T01:19:20Z;2023-03-03T20:05:05Z;34730;36775
MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==;https://github.com/getify/You-Dont-Know-JS;You-Dont-Know-JS;getify/You-Dont-Know-JS;165487;871;356;0;;2013-11-16T02:37:24Z;2022-10-23T13:09:44Z;825;908
MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=;https://github.com/trekhleb/javascript-algorithms;javascript-algorithms;trekhleb/javascript-algorithms;164130;650;280;0;JavaScript;2018-03-24T07:47:04Z;2023-02-25T00:06:02Z;207;314
MDEwOlJlcG9zaXRvcnkyMTI2MjQ0;https://github.com/twbs/bootstrap;bootstrap;twbs/bootstrap;162160;14357;8188;83;JavaScript;2011-07-29T21:19:00Z;2023-03-04T20:05:54Z;21543;21802
MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=;https://github.com/CyC2018/CS-Notes;CS-Notes;CyC2018/CS-Notes;162111;597;375;0;;2018-02-13T14:56:24Z;2022-02-05T03:45:27Z;439;558
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==;https://github.com/vinta/awesome-python;awesome-python;vinta/awesome-python;158856;1762;530;0;Python;2014-06-27T21:00:06Z;2023-01-05T12:29:51Z;478;497
